sta,chan,net,loction,lat,lon,rate
SPF,HHZ,CI,--,34.06,-118.65,100
SPG2,HHZ,CI,--,36.2,-118.77,100
SQC,HNZ,CI,--,34.87,-120.29,100
SRA,HHZ,CI,--,34.61,-115.95,100
SRI,HHZ,CI,--,33.98,-120.08,100
SRN,HHZ,CI,--,33.83,-117.79,100
SRT,HHZ,CI,--,35.69,-117.75,100
SSS,HNZ,CI,--,34.03,-117.46,100
STC,HHZ,CI,--,34.3,-119.19,100
STG,HHZ,CI,--,33.66,-117.77,100
STS,HHZ,CI,--,33.79,-118.2,100
SVD,HHZ,CI,--,34.11,-117.1,100
SWP,HHZ,CI,--,32.79,-116.1,100
SWS,HHZ,CI,--,32.95,-115.8,100
SYN,HHZ,CI,--,34.61,-120.07,100
SYP,HHZ,CI,--,34.53,-119.98,100
TA2,HHZ,CI,--,34.38,-117.68,100
TEH,HHZ,CI,--,35.29,-118.42,100
TEJ,HNZ,CI,--,35.23,-118.69,100
TFT,HHZ,CI,--,35.15,-119.42,100
THC,HNZ,CI,--,34.91,-118.66,100
THM,HHZ,CI,--,33.65,-116.08,100
TIN,HHZ,CI,--,37.05,-118.23,100
TJR,HNZ,CI,--,35.03,-118.74,100
TOR,HHZ,CI,--,33.58,-116.23,100
TOW2,HHZ,CI,--,35.81,-117.76,100
TPO,HHZ,CI,--,34.88,-118.23,100
TUQ,HHZ,CI,--,35.44,-115.92,100
USB,HNZ,CI,0,34.41,-119.84,100
USC,HHZ,CI,--,34.02,-118.29,100
VCP,HNZ,CI,--,33.24,-117.02,100
VCS,HHZ,CI,--,34.48,-118.12,100
VES,HHZ,CI,--,35.84,-119.08,100
VLY,HNZ,CI,--,33.74,-117.16,100
VOG,HHZ,CI,--,36.32,-119.38,100
VTV,HHZ,CI,--,34.56,-117.33,100
WAS2,HHZ,CI,--,35.74,-118.56,100
WBM,HHZ,CI,--,35.61,-117.89,100
WBS,HHZ,CI,--,35.54,-118.14,100
WCS2,HHZ,CI,--,36.03,-117.77,100
WES,HHZ,CI,--,32.76,-115.73,100
WGR,HHZ,CI,--,34.51,-119.27,100
WHF,HHZ,CI,--,35.7,-118.35,100
WLH2,HHZ,CI,--,36.15,-118.31,100
WLS2,HNZ,CI,--,34.58,-117.72,100
WLT,HHZ,CI,--,34.01,-117.95,100
WMD,HHZ,CI,--,33.04,-115.58,100
WMF,HHZ,CI,--,36.12,-117.85,100
WNM,HNZ,CI,--,35.84,-117.91,100
WNS,HNZ,CI,0,34.12,-118.38,100
WOR,HHZ,CI,--,35.7,-118.24,100
WRC2,HHZ,CI,--,35.95,-117.65,100
WRV2,HNZ,CI,--,36.01,-117.89,100
WSS,HHZ,CI,--,34.17,-118.65,100
WTT2,HHZ,CI,--,33.95,-118.26,100
WVP2,HNZ,CI,--,35.95,-117.82,100
WWC,HHZ,CI,--,33.94,-116.41,100
YEG2,HHZ,CI,--,35.44,-119.96,100
YUC,HNZ,CI,--,34.2,-116.41,100
YUH2,HHZ,CI,--,32.65,-115.92,100
BFSB,HHZ,CN,--,48.83,-125.14,100
CBB,HHZ,CN,--,50.03,-125.37,100
CLRS,HHZ,CN,--,48.82,-124.13,100
EDB,BHZ,CN,--,49.87,-127.12,40
GDR,HHZ,CN,--,49.78,-126.06,100
GOBB,HHZ,CN,--,48.95,-123.51,100
HNBB,HHZ,CN,--,49.29,-122.57,100
HOLB,HHZ,CN,--,50.64,-128.13,100
HOPB,HHZ,CN,--,49.39,-121.42,100
LLLB,HHZ,CN,--,50.61,-121.88,100
NLLB,HHZ,CN,--,49.23,-123.99,100
OZB,BHZ,CN,--,48.96,-125.5,40
PACB,HHZ,CN,--,50.44,-127.49,100
PGC,HHZ,CN,--,48.65,-123.45,100
PHC,HHZ,CN,--,50.71,-127.43,100
PNT,HHZ,CN,--,49.32,-119.63,100
PTRF,HHZ,CN,--,48.54,-124.41,100
SHB,BHZ,CN,--,49.6,-123.88,40
SNB,HHZ,CN,--,48.78,-123.17,100
SPLB,HHZ,CN,--,49.89,-125.65,100
SYMB,HHZ,CN,--,48.56,-123.8,100
TOFB,HHZ,CN,--,49.15,-125.91,100
VGZ,HHZ,CN,--,48.41,-123.33,100
WOSB,HHZ,CN,--,50.16,-126.57,100
WSLR,HHZ,CN,--,50.13,-122.92,100
COR,BHZ,IU,0,44.59,-123.3,20
AFD,HHZ,NC,--,38.95,-120.97,100
