net,sta,chan,location,lat,lon,rate
CI,JRC2,HNZ,--,35.98,-117.81,100
CI,JTH,HHZ,--,34.13,-116.04,100
CI,JTH,HNZ,--,34.13,-116.04,100
CI,JVA,HHZ,--,34.37,-116.61,100
CI,JVA,HNZ,--,34.37,-116.61,100
CI,KIK,HNZ,--,34.15,-118.1,100
CI,KML,HNZ,--,33.6,-117.88,100
CI,KYV,HHZ,--,33.93,-116.17,100
CI,KYV,HNZ,--,33.93,-116.17,100
CI,LAF,HHZ,--,33.87,-118.33,100
CI,LAF,HNZ,--,33.87,-118.33,100
CI,LAT,HNZ,--,34.04,-118.78,100
CI,LBW1,HNZ,0,33.8,-118.09,100
CI,LBW1,HNZ,2,33.8,-118.09,100
CI,LBW2,HNZ,1,33.8,-118.09,100
CI,LCG,HHZ,--,34,-118.38,100
CI,LCG,HNZ,--,34,-118.38,100
CI,LCP,HHZ,--,34.74,-120.28,100
CI,LCP,HNZ,--,34.74,-120.28,100
CI,LDF,HHZ,--,35.13,-115.18,100
CI,LDF,HNZ,--,35.13,-115.18,100
CI,LDR,HHZ,--,34.99,-118.34,100
CI,LDR,HNZ,--,34.99,-118.34,100
CI,LEO,HNZ,--,34.63,-118.31,100
CI,LFP,HHZ,--,34.31,-118.49,100
CI,LFP,HNZ,--,34.31,-118.49,100
CI,LGB,HHZ,--,33.98,-118.15,100
CI,LGB,HNZ,--,33.98,-118.15,100
CI,LJR,HHZ,--,34.81,-118.87,100
CI,LJR,HNZ,--,34.81,-118.87,100
CI,LKH,HHZ,--,33.24,-116.76,100
CI,LKH,HNZ,--,33.24,-116.76,100
CI,LLS,HHZ,--,33.68,-117.94,100
CI,LLS,HNZ,--,33.68,-117.94,100
CI,LMH,HHZ,--,33.74,-117.39,100
CI,LMH,HNZ,--,33.74,-117.39,100
CI,LMR2,HHZ,--,34.93,-117.7,100
CI,LMR2,HNZ,--,34.93,-117.7,100
CI,LMS,HHZ,--,33.82,-117.45,100
CI,LMS,HNZ,--,33.82,-117.45,100
CI,LMY,HHZ,--,34.73,-119.1,100
CI,LMY,HNZ,--,34.73,-119.1,100
CI,LOC,HHZ,--,34.69,-120.45,100
CI,LOC,HNZ,--,34.69,-120.45,100
CI,LPC,HHZ,--,34.31,-117.55,100
CI,LPC,HNZ,--,34.31,-117.55,100
CI,LRL,HHZ,--,35.48,-117.68,100
CI,LRL,HNZ,--,35.48,-117.68,100
CI,LRR2,HHZ,--,34.53,-118.03,100
CI,LRR2,HNZ,--,34.53,-118.03,100
CI,LTP,HHZ,--,33.88,-118.18,100
CI,LTP,HNZ,--,33.88,-118.18,100
CI,LUC2,HHZ,--,34.46,-116.96,100
CI,LUC2,HNZ,--,34.46,-116.96,100
CI,LUG,HHZ,--,34.37,-117.37,100
CI,LUG,HNZ,--,34.37,-117.37,100
CI,LUS,HHZ,--,33.01,-117.16,100
CI,LUS,HNZ,--,33.01,-117.16,100
