net,sta,chan,location,lat,lon,rate
CI,LVY,none,none,34.174,-119.156,
CI,MAG,none,none,35.362,-118.923,
CI,MCT,none,none,34.226,-116.041,
CI,MGE,none,none,33.818,-116.369,
CI,MIKB,none,none,34.137,-118.126,
CI,MIS,none,none,33.74,-118.335,
CI,MLAC,none,none,37.63,-118.836,
CI,MLS,none,none,34.005,-117.562,
CI,MNO,none,none,33.947,-117.173,
CI,MOP,none,none,34.281,-118.905,
CI,MOR,none,none,33.504,-117.14,
CI,MPI,none,none,34.813,-119.145,
CI,MPM,none,none,36.058,-117.489,
CI,MPP,none,none,34.889,-119.814,
CI,MSC,none,none,34.038,-116.648,
CI,MSJ,none,none,33.808,-116.968,
CI,MTG,none,none,33.199,-116.647,
CI,MTP,none,none,35.484,-115.553,
CI,MUR,none,none,33.6,-117.195,
CI,MWC,none,none,34.224,-118.058,
CI,NBS,none,none,34.78,-116.558,
CI,NEE2,none,none,34.768,-114.619,
CI,NEN,none,none,34.775,-118.501,
CI,NJQ,none,none,34.534,-120.177,
CI,NOT,none,none,34.229,-118.558,
CI,NSS2,none,none,33.556,-115.946,
CI,OAT,none,none,34.344,-118.614,
CI,OGC,none,none,33.788,-117.844,
CI,OLI,none,none,33.945,-117.924,
CI,OLP,none,none,32.608,-116.93,
CI,OSI,none,none,34.615,-118.724,
CI,PALA,none,none,33.389,-117.032,
CI,PASC,none,none,34.171,-118.185,
CI,PDE,none,none,34.442,-118.582,
CI,PDM,none,none,34.303,-114.141,
CI,PDR,none,none,33.963,-118.437,
CI,PDU,none,none,34.121,-117.638,
CI,PER,none,none,33.862,-117.205,
CI,PGA,none,none,33.491,-117.064,
CI,PHL,none,none,35.408,-120.546,
CI,PLM,none,none,33.354,-116.863,
CI,PLS,none,none,33.795,-117.609,
CI,PMD,none,none,33.648,-116.378,
CI,POB2,none,none,33.687,-116.924,
CI,PSD,none,none,33.824,-116.55,
CI,PSR,none,none,34.092,-117.807,
CI,PTD,none,none,34.004,-118.807,
CI,PUT,none,none,34.691,-117.969,
CI,QUG,none,none,34.396,-118.498,
CI,RAG,none,none,34.683,-116.151,
CI,RCT,none,none,36.305,-119.244,
CI,RHC2,none,none,34.001,-118.013,
CI,RIN,none,none,34.282,-118.479,
CI,RIO,none,none,34.105,-117.98,
CI,RKMO,none,none,33.674,-117.61,
CI,RMM,none,none,34.644,-116.624,
CI,RPV,none,none,33.743,-118.404,
CI,RRX,none,none,34.875,-116.997,
CI,RSS,none,none,33.973,-117.327,
CI,RUN,none,none,32.972,-114.978,
CI,RUS,none,none,34.051,-118.081,
CI,RVR,none,none,33.993,-117.376,
CI,RXH,none,none,33.183,-115.623,
CI,SAL,none,none,33.28,-115.986,
CI,SAN,none,none,33.704,-117.886,
CI,SBB2,none,none,34.688,-117.824,
CI,SBC,none,none,34.441,-119.715,
CI,SBI,none,none,33.48,-119.03,
CI,SBPX,none,none,34.232,-117.235,
CI,SCI2,none,none,32.98,-118.547,
CI,SCZ2,none,none,33.995,-119.635,
